threshold,coverage_mean,coverage_std,precision_mean,precision_std,precision_lcb_mean,precision_lcb_std,recall_mean,recall_std,coherent_kept_rate_mean,coherent_kept_rate_std
0.600000,0.589975,0.016711,0.745214,0.019177,0.702523,0.020350,0.721541,0.031507,0.439800,0.020628
0.605000,0.583806,0.016766,0.747124,0.018599,0.704279,0.019774,0.715805,0.030456,0.436313,0.020297
0.610000,0.575493,0.015246,0.750479,0.019858,0.707470,0.021054,0.708783,0.029907,0.432023,0.019687
0.615000,0.564230,0.014009,0.751240,0.019435,0.707819,0.020573,0.695643,0.029291,0.423978,0.018287
0.620000,0.555918,0.013828,0.754325,0.020100,0.710714,0.021223,0.688139,0.027181,0.419420,0.017512
0.625000,0.547069,0.015349,0.754752,0.019178,0.710786,0.020308,0.677593,0.028396,0.412984,0.017926
0.630000,0.537684,0.016326,0.755530,0.020954,0.711210,0.022083,0.666604,0.028409,0.406280,0.017722
0.635000,0.529639,0.017771,0.757458,0.021008,0.712879,0.022050,0.658347,0.030893,0.401186,0.017507
0.640000,0.521058,0.019535,0.761736,0.023059,0.716995,0.024209,0.651271,0.031635,0.396895,0.018545
0.645000,0.509526,0.017585,0.764829,0.021922,0.719715,0.022972,0.639350,0.026222,0.389654,0.015949
0.650000,0.500945,0.017422,0.766197,0.020552,0.720744,0.021486,0.629663,0.023696,0.383753,0.014567
0.655000,0.490218,0.018049,0.769944,0.019928,0.724169,0.020697,0.619146,0.022542,0.377317,0.012955
0.660000,0.477616,0.018863,0.771072,0.017683,0.724710,0.018469,0.604233,0.026267,0.368201,0.014445
0.665000,0.470107,0.020722,0.775469,0.019226,0.728970,0.020029,0.598146,0.029711,0.364447,0.015521
0.670000,0.460720,0.018457,0.777833,0.016538,0.730962,0.017220,0.588019,0.026846,0.358278,0.013639
0.675000,0.453211,0.017289,0.779422,0.014729,0.732228,0.015371,0.579648,0.025786,0.353183,0.013138
0.680000,0.441680,0.016194,0.779655,0.016516,0.731836,0.017481,0.565097,0.025735,0.344333,0.013756
0.685000,0.430415,0.011153,0.785066,0.018347,0.736940,0.019511,0.554514,0.021750,0.337897,0.011504
0.690000,0.419152,0.012232,0.788823,0.017702,0.740247,0.018963,0.542663,0.024531,0.330657,0.012847
0.695000,0.408426,0.012149,0.793056,0.018134,0.744085,0.019566,0.531670,0.025946,0.323953,0.013747
0.700000,0.400918,0.012569,0.793726,0.019850,0.744319,0.021619,0.522373,0.027503,0.318322,0.015709
0.705000,0.391800,0.013670,0.795676,0.022110,0.745802,0.024168,0.511801,0.029953,0.311887,0.017396
0.710000,0.377586,0.013079,0.798586,0.026935,0.747962,0.029325,0.495089,0.031475,0.301696,0.018264
0.715000,0.366323,0.012800,0.801914,0.022477,0.750666,0.024741,0.482311,0.028948,0.293918,0.016914
0.720000,0.356669,0.013281,0.801874,0.019589,0.749859,0.021672,0.469614,0.028862,0.286141,0.016070
0.725000,0.345941,0.012598,0.802903,0.018280,0.750103,0.020005,0.456015,0.026165,0.277827,0.013765
0.730000,0.337628,0.012360,0.805928,0.021881,0.752691,0.023954,0.446705,0.025862,0.272195,0.014536
0.735000,0.326634,0.014875,0.810978,0.021407,0.757174,0.023399,0.434897,0.028314,0.264955,0.015296
0.740000,0.315104,0.016612,0.816712,0.023166,0.762335,0.025511,0.422634,0.032186,0.257448,0.017318
0.745000,0.301696,0.015064,0.819158,0.023739,0.763706,0.026332,0.405985,0.032524,0.247258,0.016903
0.750000,0.290165,0.016854,0.820969,0.019156,0.764426,0.022185,0.391467,0.034729,0.238409,0.018497
0.755000,0.277829,0.016440,0.821678,0.021840,0.763865,0.025095,0.375161,0.034150,0.228487,0.018426
0.760000,0.267371,0.017393,0.821664,0.026139,0.762655,0.029698,0.361073,0.035566,0.219906,0.019513
0.765000,0.253424,0.013299,0.823657,0.027275,0.763131,0.030799,0.342963,0.029436,0.208909,0.016118
0.770000,0.242697,0.014379,0.824885,0.026041,0.763000,0.029358,0.328960,0.029814,0.200327,0.015793
0.775000,0.234651,0.012840,0.829319,0.016589,0.766644,0.019332,0.319693,0.025667,0.194694,0.013252
0.780000,0.224729,0.012966,0.828748,0.017742,0.764498,0.021146,0.306054,0.026650,0.186381,0.014028
0.785000,0.211589,0.012707,0.838711,0.015288,0.773367,0.018158,0.291524,0.024021,0.177530,0.012426
0.790000,0.202470,0.011979,0.840699,0.012538,0.773937,0.015509,0.279635,0.022727,0.170289,0.011766
0.795000,0.193352,0.012416,0.844361,0.011807,0.776280,0.014613,0.268184,0.022614,0.163316,0.011837
0.800000,0.182894,0.013082,0.844501,0.012165,0.774264,0.014315,0.253704,0.022420,0.154467,0.011474
0.805000,0.174582,0.014365,0.847621,0.019469,0.775949,0.023288,0.243162,0.025016,0.148032,0.013303
0.810000,0.163318,0.013032,0.845507,0.019786,0.770825,0.023305,0.226846,0.021997,0.138109,0.011682
0.815000,0.153394,0.010619,0.856358,0.021339,0.780536,0.025506,0.215823,0.019590,0.131403,0.010265
0.820000,0.144545,0.012226,0.857307,0.018665,0.778905,0.021282,0.203455,0.019262,0.123895,0.010510
0.825000,0.135428,0.013276,0.855506,0.019990,0.773783,0.023388,0.190317,0.021405,0.115850,0.011615
0.830000,0.125506,0.014642,0.859877,0.025418,0.775074,0.033369,0.177622,0.025780,0.108073,0.014378
0.835000,0.117461,0.013264,0.864935,0.033949,0.778001,0.041778,0.167049,0.022580,0.101638,0.012358
0.840000,0.109685,0.016084,0.866489,0.039701,0.776087,0.051171,0.156553,0.027101,0.095203,0.015280
0.845000,0.101102,0.013184,0.874374,0.028829,0.780772,0.038301,0.145446,0.022043,0.088497,0.012484
0.850000,0.089302,0.013506,0.875563,0.023841,0.774534,0.034979,0.128728,0.022293,0.078306,0.012781
0.855000,0.079111,0.012796,0.892350,0.013708,0.786851,0.015353,0.115963,0.019590,0.070529,0.011086
0.860000,0.070798,0.012710,0.883122,0.006287,0.767706,0.012812,0.102769,0.019319,0.062485,0.011009
0.865000,0.064629,0.012593,0.896954,0.010905,0.777787,0.017084,0.095248,0.019120,0.057925,0.011113
0.870000,0.058728,0.011227,0.912773,0.011832,0.790566,0.027151,0.088214,0.017973,0.053633,0.010338
0.875000,0.053633,0.009613,0.909678,0.015521,0.779882,0.028524,0.080255,0.015403,0.048806,0.008815
0.880000,0.049342,0.008495,0.914219,0.018659,0.779013,0.021390,0.074092,0.013322,0.045052,0.007435
0.885000,0.045052,0.006606,0.917470,0.031153,0.776131,0.039574,0.067893,0.010709,0.041298,0.005947
0.890000,0.038348,0.004797,0.917061,0.022454,0.760114,0.026380,0.057752,0.007721,0.035130,0.004069
0.895000,0.032717,0.007074,0.926559,0.028346,0.753606,0.044814,0.049899,0.011541,0.030304,0.006476
0.900000,0.028427,0.006738,0.934420,0.042719,0.748500,0.063929,0.043720,0.011047,0.026550,0.006252
0.905000,0.025478,0.007169,0.936564,0.064986,0.737943,0.095747,0.039343,0.011638,0.023869,0.006673
0.910000,0.020920,0.006623,0.935134,0.075279,0.707931,0.105253,0.032277,0.010722,0.019579,0.006200
0.915000,0.016896,0.004313,0.953950,0.044607,0.696814,0.065372,0.026504,0.007076,0.016092,0.004031
0.920000,0.013946,0.002252,0.944211,0.052358,0.655558,0.063128,0.021611,0.003644,0.013141,0.001996
0.925000,0.012069,0.002689,0.934762,0.063389,0.615998,0.079198,0.018539,0.004303,0.011264,0.002442
0.930000,0.008850,0.002036,0.935000,0.092871,0.558278,0.118001,0.013701,0.003860,0.008314,0.002207
